"","RegimenClara","Edad","Zona","Calidad","N","Vol.comercial20","Vol.comercial7","Vol.comercial7a20","costes.fijos","costes.variables","ing.fijos","E1_VCC20","E1_VCC7","E3_VCC20","E3_VCC7","turno","costes.var.tot","costes.tot","ingresos.Esc.1","ingresos.Esc.2","renta.Esc.1","renta.Esc.2","tiempo","renta.ant.act.Esc1.Int1","renta.act.Esc1.Int1","renta.ant.act.Esc1.Int2","renta.act.Esc1.Int2","renta.ant.act.Esc1.Int3","renta.act.Esc1.Int3","renta.ant.act.Esc2.Int1","renta.act.Esc2.Int1","renta.ant.act.Esc2.Int2","renta.act.Esc2.Int2","renta.ant.act.Esc2.Int3","renta.act.Esc2.Int3"
"153","MG2",25,"zona interior","7",450,0,28.785,28.785,0,10.56,0,30.24,12,39.92,18,35,303.9696,303.9696,345.42,518.13,41.4504,214.1604,8,-1176.38651107723,-1134.93611107723,-1544.67376762235,-1503.22336762235,-2018.69256630632,-1977.24216630632,-1170.28450902097,-956.124109020966,-1538.07642903848,-1323.91602903848,-2011.56505869181,-1797.40465869181
"175","MG2",35,"zona interior","7",0,67.455,109.484,42.029,0,10.56,0,53.02,12,68.53,18,35,1156.15104,1156.15104,4080.8121,5379.21315,2924.66106,4223.06211,10,-1383.48078645369,1541.18027354631,-2020.2065055605,904.454554439498,-2926.80141657449,-2.14035657449131,-1165.50995371902,3057.55215628098,-1779.23243630104,2443.82967369896,-2660.59797371415,1562.46413628585
"131","MG2",1,"zona interior","11",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"161","MG2",3,"zona interior","11",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"141","MG2",17,"zona interior","11",1000,0,6.488,6.488,0,10.56,0,20,12,24,18,35,68.51328,68.51328,77.856,116.784,9.34272,48.27072,14,-1005.28448000234,-995.941760002341,-1220.62965616358,-1211.28693616358,-1476.28880511034,-1466.94608511034,-1005.28448000234,-957.013760002341,-1220.62965616358,-1172.35893616358,-1476.28880511034,-1428.01808511034
"152","MG2",25,"zona interior","11",450,12.019,81.37,69.351,0,10.56,0,30.24,12,39.92,18,35,859.2672,859.2672,1195.66656,1728.11648,336.39936,868.84928,8,-1166.90450603865,-830.50514603865,-1534.42205070769,-1198.02269070769,-2007.6170106952,-1671.2176506952,-1121.29414965499,-252.444869654994,-1485.10922497944,-616.259944979435,-1954.34135470102,-1085.49207470102
"173","MG2",35,"zona interior","11",0,230.557,276.294,45.737,0,10.56,0,53.02,12,68.53,18,35,2917.66464,2917.66464,12772.97614,16623.33721,9855.3115,13705.67257,10,-1012.38113879805,8842.93036120195,-1610.04231686798,8245.26918313202,-2473.81037629623,7381.50112370377,-307.728887465742,13397.9436825343,-828.201833991571,12877.4707360084,-1606.79343990034,12098.8791300997
"134","MG2",1,"zona interior","16",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"162","MG2",3,"zona interior","16",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"142","MG2",17,"zona interior","16",1000,0,23.634,23.634,0,10.56,0,20,12,24,18,35,249.57504,249.57504,283.608,425.412,34.03296,175.83696,14,-1005.28448000234,-971.251520002341,-1220.62965616358,-1186.59669616358,-1476.28880511034,-1442.25584511034,-1005.28448000234,-829.447520002341,-1220.62965616358,-1044.79269616358,-1476.28880511034,-1300.45184511034
"154","MG2",25,"zona interior","16",450,94.854,188.183,93.329,0,10.56,0,30.24,12,39.92,18,35,1987.21248,1987.21248,3988.33296,5466.49368,2001.12048,3479.2812,8,-1137.97595472345,863.144525276547,-1503.14519337341,497.975286626588,-1973.82671238412,27.2937676158817,-971.829967859808,2507.45123214019,-1323.51212875232,2155.76907124768,-1779.75814676045,1699.52305323955
"176","MG2",35,"zona interior","16",0,490.49,538.21,47.72,0,10.56,0,53.02,12,68.53,18,35,5683.4976,5683.4976,26578.4198,34472.2397,20894.9222,28788.7421,10,1052.16835996113,21947.0905599611,669.237144206055,21564.1593442061,40.4014435272983,20935.3236435273,3056.56906038787,31845.3111603879,2897.17336493322,31685.9154649332,2515.70928664482,31304.4513866448
"137","MG2",1,"zona interior","21",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"163","MG2",3,"zona interior","21",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"143","MG2",17,"zona interior","21",1000,6.237,48.882,42.645,0,10.56,0,20,12,24,18,35,516.19392,516.19392,636.48,917.298,120.28608,401.10408,14,-1005.28448000234,-884.998400002341,-1220.62965616358,-1100.34357616358,-1476.28880511034,-1356.00272511034,-1005.28448000234,-604.180400002341,-1220.62965616358,-819.525576163578,-1476.28880511034,-1075.18472511034
"156","MG2",25,"zona interior","21",450,234.188,336.059,101.871,0,10.56,0,30.24,12,39.92,18,35,3548.78304,3548.78304,8304.29712,11182.46296,4755.51408,7633.67992,8,-1036.91667753474,3718.59740246526,-1393.88232153108,3361.63175846892,-1855.78336185123,2899.73071814877,-707.893633480445,6925.78628651956,-1038.15048081597,6595.52943918403,-1471.46453825452,6162.21538174548
"179","MG2",35,"zona interior","21",0,855.368,902.647,47.279,0,10.56,0,53.02,12,68.53,18,35,9531.95232,9531.95232,45918.95936,59469.39104,36387.00704,49937.43872,10,4532.94948381215,40919.9565238122,4517.75198152977,40904.7590215298,4292.30982334189,40679.3168633419,8442.49483734355,58379.9335573435,8863.84004376577,58801.2787637658,9121.58410126466,59059.0228212647
"140","MG2",1,"zona interior","26",1250,0,0,0,2200,0,0,0,0,0,0,35,0,2200,0,0,-2200,-2200,0,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200,0,-2200
"164","MG2",3,"zona interior","26",1250,0,0,0,0,0,1527,0,0,0,0,35,0,0,1527,1527,1527,1527,2,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52,-2288.88,-761.88,-2333.98,-806.98,-2379.52,-852.52
"144","MG2",17,"zona interior","26",1000,26.863,82.701,55.838,0,10.56,0,20,12,24,18,35,873.32256,873.32256,1207.316,1649.796,333.99344,776.47344,14,-1005.28448000234,-671.291040002341,-1220.62965616358,-886.636216163578,-1476.28880511034,-1142.29536511034,-1005.28448000234,-228.811040002341,-1220.62965616358,-444.156216163578,-1476.28880511034,-699.815365110344
"151","MG2",25,"zona interior","26",450,445.921,547.05,101.129,0,10.56,0,30.24,12,39.92,18,35,5776.848,5776.848,14698.19904,19621.48832,8921.35104,13844.64032,8,-786.524444401511,8134.82659559849,-1123.16423171074,7798.18680828926,-1563.31008311141,7358.04095688859,-268.088601495628,13576.5517185044,-562.643806098352,13281.9965139016,-957.745649688083,12886.8946703119
"172","MG2",35,"zona interior","26",0,1262.089,1310.595,48.5060000000001,0,10.56,0,53.02,12,68.53,18,35,13839.8832,13839.8832,67498.03078,87364.06717,53658.14758,73524.18397,10,9916.30822765951,63574.4558076595,10480.1109808452,64138.2585608452,10891.6980746294,64549.8456546294,16549.7407876271,90073.924757627,17849.892665424,91374.0766354239,19075.7521860739,92599.9361560739
"188","MG2rn",0,"zona costera","7",1250,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230","MG2rn",5,"zona costera","7",1250,0,0,0,837,0,0,0,0,0,0,35,0,837,0,0,-837,-837,5,0,-837,0,-837,0,-837,0,-837,0,-837,0,-837
"240","MG2rn",7,"zona costera","7",1250,0,0,0,0,0,850,0,0,0,0,35,0,0,850,850,850,850,2,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992
"199","MG2rn",17,"zona costera","7",1000,0,0.902,0.902,0,10.56,0,20,12,24,18,35,9.52512,9.52512,10.824,16.236,1.29888,6.71088,10,-25.3731250533069,-24.0742450533069,-51.0329398477481,-49.7340598477481,-81.8563247605566,-80.5574447605566,-25.3731250533069,-18.6622450533069,-51.0329398477481,-44.3220598477482,-81.8563247605566,-75.1454447605566
"210","MG2rn",25,"zona costera","7",450,0,30.254,30.254,0,10.56,0,30.24,12,39.92,18,35,319.48224,319.48224,363.048,544.572,43.56576,225.08976,8,-28.2068150572544,15.3589449427456,-63.0016190410685,-19.4358590410686,-110.24842567903,-66.6826656790303,-21.8657944872701,203.22396551273,-56.1458593605987,168.943900639401,-102.841729978237,122.248030021763
"220","MG2rn",35,"zona costera","7",0,65.614,109.042,43.428,0,10.56,0,53.02,12,68.53,18,35,1151.48352,1151.48352,3999.99028,5278.23142,2848.50676,4126.7479,10,18.7224681822136,2867.22922818221,-26.1201693119156,2822.38659068808,-98.7066347745052,2749.80012522549,247.728879969225,4374.47677996922,227.046475259577,4353.79437525958,180.956947782241,4307.70484778224
"186","MG2rn",0,"zona costera","11",1250,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","MG2rn",5,"zona costera","11",1250,0,0,0,837,0,0,0,0,0,0,35,0,837,0,0,-837,-837,5,0,-837,0,-837,0,-837,0,-837,0,-837,0,-837
"236","MG2rn",7,"zona costera","11",1250,0,0,0,0,0,850,0,0,0,0,35,0,0,850,850,850,850,2,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992
"198","MG2rn",17,"zona costera","11",1000,0,7.069,7.069,0,10.56,0,20,12,24,18,35,74.64864,74.64864,84.828,127.242,10.17936,52.59336,10,-25.3731250533069,-15.1937650533069,-51.0329398477481,-40.8535798477481,-81.8563247605566,-71.6769647605566,-25.3731250533069,27.2202349466931,-51.0329398477481,1.56042015225186,-81.8563247605566,-29.2629647605566
"205","MG2rn",25,"zona costera","11",450,11.995,80.814,68.819,0,10.56,0,30.24,12,39.92,18,35,853.39584,853.39584,1188.5568,1717.5824,335.16096,864.18656,8,-17.8019173574514,317.359042642548,-51.7520926687074,283.408867331292,-98.0948755982872,237.066084401713,31.8928436283787,896.079403628378,1.97669356326696,866.163253563267,-40.0483878943979,824.138172105602
"218","MG2rn",35,"zona costera","11",0,215.021,261.294,46.273,0,10.56,0,53.02,12,68.53,18,35,2759.26464,2759.26464,11955.68942,15568.30313,9196.42478,12809.03849,10,386.858902116145,9583.28368211615,380.877818857889,9577.30259885789,350.915716583605,9547.34049658361,1092.31579289522,13901.3542828952,1164.05098364967,13973.0894736497,1219.92581924237,14028.9643092424
"189","MG2rn",0,"zona costera","16",1250,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","MG2rn",5,"zona costera","16",1250,0,0,0,837,0,0,0,0,0,0,35,0,837,0,0,-837,-837,5,0,-837,0,-837,0,-837,0,-837,0,-837,0,-837
"237","MG2rn",7,"zona costera","16",1250,0,0,0,0,0,850,0,0,0,0,35,0,0,850,850,850,850,2,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992
"200","MG2rn",17,"zona costera","16",1000,0,25.517,25.517,0,10.56,0,20,12,24,18,35,269.45952,269.45952,306.204,459.306,36.74448,189.84648,10,-25.3731250533069,11.3713549466931,-51.0329398477481,-14.2884598477481,-81.8563247605566,-45.1118447605566,-25.3731250533069,164.473354946693,-51.0329398477481,138.813540152252,-81.8563247605566,107.990155239443
"207","MG2rn",25,"zona costera","16",450,90.188,179.893,89.705,0,10.56,0,30.24,12,39.92,18,35,1899.67008,1899.67008,3803.74512,5214.99496,1904.07504,3315.32488,8,13.3233546979995,1917.398394698,-18.1001934442356,1885.97484655576,-61.738674545985,1842.33636545402,192.706749248208,3508.03162924821,175.844839556371,3491.16971955637,147.791984209163,3463.11686420916
"211","MG2rn",35,"zona costera","16",0,436.698,483.235,46.537,0,10.56,0,53.02,12,68.53,18,35,5102.9616,5102.9616,23712.17196,30764.57994,18609.21036,25661.61834,10,2337.29794404377,20946.5083040438,2534.59248731731,21143.8028473173,2727.10787586054,21336.3182358605,4276.27098121868,29937.8893212187,4691.84016918203,30353.458509182,5126.25894624995,30787.8772862499
"182","MG2rn",0,"zona costera","21",1250,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","MG2rn",5,"zona costera","21",1250,0,0,0,837,0,0,0,0,0,0,35,0,837,0,0,-837,-837,5,0,-837,0,-837,0,-837,0,-837,0,-837,0,-837
"238","MG2rn",7,"zona costera","21",1250,0,0,0,0,0,850,0,0,0,0,35,0,0,850,850,850,850,2,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992
"195","MG2rn",17,"zona costera","21",1000,7.705,51.53,43.825,0,10.56,0,20,12,24,18,35,544.1568,544.1568,680,973.77,135.8432,429.6132,10,-25.3731250533069,110.470074946693,-51.0329398477481,84.8102601522519,-81.8563247605566,53.9868752394434,-25.3731250533069,404.240074946693,-51.0329398477481,378.580260152252,-81.8563247605566,347.756875239443
"208","MG2rn",25,"zona costera","21",450,215.99,312.127,96.137,0,10.56,0,30.24,12,39.92,18,35,3296.06112,3296.06112,7685.1816,10352.7868,4389.12048,7056.72568,8,129.433299631316,4518.55377963132,107.435100155573,4496.55558015557,73.8847665807931,4463.00524658079,473.631675988352,7530.35735598835,479.574146964813,7536.29982696481,475.92929651835,7532.65497651835
"214","MG2rn",35,"zona costera","21",0,730.716,775.584,44.8679999999999,0,10.56,0,53.02,12,68.53,18,35,8190.16704,8190.16704,39280.97832,50883.59148,31090.81128,42693.42444,10,5508.0918438168,36598.9031238168,6042.99469480229,37133.8059748023,6606.33800981181,37697.1492898118,9179.46359751628,51872.8880375163,10128.1567771063,52821.5812171063,11150.169479253,53843.593919253
"185","MG2rn",0,"zona costera","26",1250,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229","MG2rn",5,"zona costera","26",1250,0,0,0,837,0,0,0,0,0,0,35,0,837,0,0,-837,-837,5,0,-837,0,-837,0,-837,0,-837,0,-837,0,-837
"239","MG2rn",7,"zona costera","26",1250,0,0,0,0,0,850,0,0,0,0,35,0,0,850,850,850,850,2,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992
"197","MG2rn",17,"zona costera","26",1000,36.405,90.373,53.968,0,10.56,0,20,12,24,18,35,954.33888,954.33888,1375.716,1845.144,421.37712,890.80512,10,-25.3731250533069,396.003994946693,-51.0329398477481,370.344180152252,-81.8563247605566,339.520795239443,-25.3731250533069,865.431994946693,-51.0329398477481,839.772180152252,-81.8563247605566,808.948795239443
"209","MG2rn",25,"zona costera","26",450,397.742,491.689,93.947,0,10.56,0,30.24,12,39.92,18,35,5192.23584,5192.23584,13155.08208,17568.90664,7962.84624,12376.6708,8,463.981795593667,8426.82803559367,469.140927232898,8431.9871672329,464.657652333688,8427.50389233369,1013.9915154988,13390.6623154988,1063.79827299852,13440.4690729985,1107.10228452734,13483.7730845273
"217","MG2rn",35,"zona costera","26",0,1037.528,1081.889,44.3609999999999,0,10.56,0,53.02,12,68.53,18,35,11424.74784,11424.74784,55542.06656,71900.29184,44117.31872,60475.544,10,10272.2563536441,54389.5750736441,11331.8856644637,55449.2043844637,12474.764472754,56592.0831927541,16323.1426426271,76798.6866426271,18062.8665332708,78538.4105332708,19959.2780475074,80434.8220475074
"183","MG2rn",0,"zona interior","7",1250,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225","MG2rn",5,"zona interior","7",1250,0,0,0,837,0,0,0,0,0,0,35,0,837,0,0,-837,-837,5,0,-837,0,-837,0,-837,0,-837,0,-837,0,-837
"235","MG2rn",7,"zona interior","7",1250,0,0,0,0,0,850,0,0,0,0,35,0,0,850,850,850,850,2,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992
"196","MG2rn",17,"zona interior","7",1000,0,0.868,0.868,0,10.56,0,20,12,24,18,35,9.16608,9.16608,10.416,15.624,1.24992,6.45792,10,-25.3731250533069,-24.1232050533069,-51.0329398477481,-49.7830198477482,-81.8563247605566,-80.6064047605566,-25.3731250533069,-18.9152050533069,-51.0329398477481,-44.5750198477481,-81.8563247605566,-75.3984047605566
"203","MG2rn",25,"zona interior","7",450,0,28.785,28.785,0,10.56,0,30.24,12,39.92,18,35,303.9696,303.9696,345.42,518.13,41.4504,214.1604,8,-28.2641795005483,13.1862204994517,-63.0636401042532,-21.6132401042532,-110.315430819738,-68.8650308197381,-22.1621774442884,191.998222555712,-56.4663015203865,157.694098479613,-103.187923205227,110.972476794773
"215","MG2rn",35,"zona interior","7",0,67.455,109.484,42.029,0,10.56,0,53.02,12,68.53,18,35,1156.15104,1156.15104,4080.8121,5379.21315,2924.66106,4223.06211,10,16.0739292096522,2940.73498920965,-29.0463873868032,2895.6146726132,-101.937068301643,2822.72399169836,234.044761944324,4457.10687194432,211.927681872658,4434.98979187266,164.266374558696,4387.32848455869
"181","MG2rn",0,"zona interior","11",1250,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","MG2rn",5,"zona interior","11",1250,0,0,0,837,0,0,0,0,0,0,35,0,837,0,0,-837,-837,5,0,-837,0,-837,0,-837,0,-837,0,-837,0,-837
"231","MG2rn",7,"zona interior","11",1250,0,0,0,0,0,850,0,0,0,0,35,0,0,850,850,850,850,2,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992
"191","MG2rn",17,"zona interior","11",1000,0,6.488,6.488,0,10.56,0,20,12,24,18,35,68.51328,68.51328,77.856,116.784,9.34272,48.27072,10,-25.3731250533069,-16.0304050533069,-51.0329398477481,-41.6902198477481,-81.8563247605566,-72.5136047605566,-25.3731250533069,22.8975949466931,-51.0329398477481,-2.76221984774815,-81.8563247605566,-33.5856047605566
"202","MG2rn",25,"zona interior","11",450,12.019,81.37,69.351,0,10.56,0,30.24,12,39.92,18,35,859.2672,859.2672,1195.66656,1728.11648,336.39936,868.84928,8,-18.7821744619731,317.617185538027,-52.8119231895995,283.5874368104,-99.2398752086183,237.159484791382,26.8281819216831,895.677461921683,-3.49909746134241,865.350182538658,-45.9642192144418,822.885060785558
"213","MG2rn",35,"zona interior","11",0,230.557,276.294,45.737,0,10.56,0,53.02,12,68.53,18,35,2917.66464,2917.66464,12772.97614,16623.33721,9855.3115,13705.67257,10,387.173576865294,10242.4850768653,381.117801305713,10236.4293013057,351.053971976622,10206.3654719766,1091.8258281976,14797.4983981976,1162.95828418213,14868.6308541821,1218.07090837251,14923.7434783725
"184","MG2rn",0,"zona interior","16",1250,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222","MG2rn",5,"zona interior","16",1250,0,0,0,837,0,0,0,0,0,0,35,0,837,0,0,-837,-837,5,0,-837,0,-837,0,-837,0,-837,0,-837,0,-837
"232","MG2rn",7,"zona interior","16",1250,0,0,0,0,0,850,0,0,0,0,35,0,0,850,850,850,850,2,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992
"192","MG2rn",17,"zona interior","16",1000,0,23.634,23.634,0,10.56,0,20,12,24,18,35,249.57504,249.57504,283.608,425.412,34.03296,175.83696,10,-25.3731250533069,8.65983494669314,-51.0329398477481,-16.9999798477481,-81.8563247605566,-47.8233647605566,-25.3731250533069,150.463834946693,-51.0329398477481,124.804020152252,-81.8563247605566,93.9806352394435
"204","MG2rn",25,"zona interior","16",450,94.854,188.183,93.329,0,10.56,0,30.24,12,39.92,18,35,1987.21248,1987.21248,3988.33296,5466.49368,2001.12048,3479.2812,8,10.1463768532243,2011.26685685322,-21.5350658553198,1979.58541414468,-65.4495768975399,1935.67090310246,176.29236371687,3655.57356371687,158.09799876577,3637.37919876577,128.61898872613,3607.90018872613
"216","MG2rn",35,"zona interior","16",0,490.49,538.21,47.72,0,10.56,0,53.02,12,68.53,18,35,5683.4976,5683.4976,26578.4198,34472.2397,20894.9222,28788.7421,10,2451.72307562447,23346.6452756245,2660.39726237975,23555.3194623798,2865.26579180015,23760.1879918001,4456.12377605121,33244.8658760512,4888.33348310692,33677.0755831069,5340.57363491767,34129.3157349177
"187","MG2rn",0,"zona interior","21",1250,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","MG2rn",5,"zona interior","21",1250,0,0,0,837,0,0,0,0,0,0,35,0,837,0,0,-837,-837,5,0,-837,0,-837,0,-837,0,-837,0,-837,0,-837
"233","MG2rn",7,"zona interior","21",1250,0,0,0,0,0,850,0,0,0,0,35,0,0,850,850,850,850,2,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992
"193","MG2rn",17,"zona interior","21",1000,6.237,48.882,42.645,0,10.56,0,20,12,24,18,35,516.19392,516.19392,636.48,917.298,120.28608,401.10408,10,-25.3731250533069,94.9129549466931,-51.0329398477481,69.2531401522518,-81.8563247605566,38.4297552394434,-25.3731250533069,375.730954946693,-51.0329398477481,350.071140152252,-81.8563247605566,319.247755239443
"206","MG2rn",25,"zona interior","21",450,234.188,336.059,101.871,0,10.56,0,30.24,12,39.92,18,35,3548.78304,3548.78304,8304.29712,11182.46296,4755.51408,7633.67992,8,111.205654041938,4866.71973404194,87.7278059870161,4843.24188598702,52.5937736353521,4808.10785363535,440.228698096233,8073.90861809623,443.459646702124,8077.13956670212,436.91259723206,8070.59251723206
"219","MG2rn",35,"zona interior","21",0,855.368,902.647,47.279,0,10.56,0,53.02,12,68.53,18,35,9531.95232,9531.95232,45918.95936,59469.39104,36387.00704,49937.43872,10,5932.50419947549,42319.5112394755,6508.91209970347,42895.9191397035,7117.17417161474,43504.1812116147,9842.04955300689,59779.4882730069,10855.0001619395,60792.4388819395,11946.4484495375,61883.8871695375
"190","MG2rn",0,"zona interior","26",1250,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","MG2rn",5,"zona interior","26",1250,0,0,0,837,0,0,0,0,0,0,35,0,837,0,0,-837,-837,5,0,-837,0,-837,0,-837,0,-837,0,-837,0,-837
"234","MG2rn",7,"zona interior","26",1250,0,0,0,0,0,850,0,0,0,0,35,0,0,850,850,850,850,2,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992,-870.8148,-20.8148,-887.9733,-37.9733,-905.2992,-55.2992
"194","MG2rn",17,"zona interior","26",1000,26.863,82.701,55.838,0,10.56,0,20,12,24,18,35,873.32256,873.32256,1207.316,1649.796,333.99344,776.47344,10,-25.3731250533069,308.620314946693,-51.0329398477481,282.960500152252,-81.8563247605566,252.137115239443,-25.3731250533069,751.100314946693,-51.0329398477481,725.440500152252,-81.8563247605566,694.617115239443
"201","MG2rn",25,"zona interior","26",450,445.921,547.05,101.129,0,10.56,0,30.24,12,39.92,18,35,5776.848,5776.848,14698.19904,19621.48832,8921.35104,13844.64032,8,361.597887175167,9282.94892717517,358.445895807349,9279.79693580735,345.06705237517,9266.41809237517,880.033730081049,14724.6740500811,918.966321419741,14763.6066414197,950.631485798496,14795.2718057985
"212","MG2rn",35,"zona interior","26",0,1262.089,1310.595,48.5060000000001,0,10.56,0,53.02,12,68.53,18,35,13839.8832,13839.8832,67498.03078,87364.06717,53658.14758,73524.18397,10,11315.8629433228,64974.0105233229,12471.2710990189,66129.4186790189,13716.5624229023,67374.7100029023,17949.2955032904,91473.4794732904,19841.0527835977,93365.2367535976,21900.6165343467,95424.8005043467
