"RegimenClara","Zona","Calidad","Edad","AB","Dm","Dq","Ho","VCC20","VCC7"
"MG2",0,11,23,38.92,21.74,22.26,12.42,68.86,185.93
"MG2",0,11,24,41.20,22.36,22.90,12.86,84.02,204.39
"MG2",0,11,25,43.42,22.96,23.51,13.28,100.18,222.83
"MG2",0,11,25,26.81,26.99,27.54,13.28,88.16,141.46
"MG2",0,11,26,28.47,27.82,28.38,13.69,102.02,151.82
"MG2",0,11,27,30.11,28.61,29.19,14.08,115.46,164.92
"MG2",0,11,28,31.72,29.36,29.96,14.46,128.94,178.09
"MG2",0,11,29,33.30,30.09,30.70,14.83,142.80,191.36
"MG2",0,11,30,34.86,30.78,31.40,15.18,157.35,205.45
"MG2",0,11,31,36.38,31.45,32.08,15.52,172.21,219.95
"MG2",0,11,32,37.88,32.09,32.74,15.85,186.95,234.18
"MG2",0,11,33,39.34,32.71,33.36,16.16,200.60,247.43
"MG2",0,11,34,40.78,33.30,33.97,16.47,215.64,261.96
"MG2",0,11,35,42.18,33.87,34.55,16.76,230.56,276.29
"MG2",0,11,35,0.00,0.00,0.00,0.00,0.00,0.00
"MG2",0,16,1,0.00,0.00,0.00,0.33,0.00,0.00
"MG2",0,16,2,0.01,0.27,0.27,0.91,0.00,0.00
"MG2",0,16,3,0.16,1.28,1.30,1.63,0.00,0.00
"MG2",0,16,4,0.83,2.87,2.91,2.44,0.00,0.00
"MG2",0,16,5,2.27,4.73,4.81,3.31,0.00,0.00
"MG2",0,16,6,4.49,6.65,6.76,4.22,0.00,4.10
"MG2",0,16,7,7.37,8.51,8.66,5.16,0.00,5.45
"MG2",0,16,8,10.75,10.28,10.46,6.10,0.00,22.65
"MG2",0,16,9,14.47,11.92,12.14,7.04,0.00,32.33
"MG2",0,16,10,18.42,13.44,13.70,7.97,0.00,50.14
"MG2",0,16,11,22.48,14.84,15.13,8.89,0.24,78.06
"MG2",0,16,12,26.58,16.14,16.45,9.78,2.75,99.23
"MG2",0,16,13,30.67,17.33,17.68,10.66,9.35,127.00
"MG2",0,16,14,34.71,18.43,18.80,11.50,19.43,155.79
"MG2",0,16,15,38.67,19.44,19.85,12.32,34.03,182.03
"MG2",0,16,16,42.53,20.38,20.81,13.12,54.81,212.28
"MG2",0,16,17,46.29,21.26,21.71,13.88,80.84,248.41
"MG2",0,16,17,41.31,22.48,22.93,13.88,80.84,224.77
"MG2",0,16,18,44.74,23.39,23.87,14.61,118.89,256.11
"MG2",0,16,19,48.07,24.24,24.74,15.32,147.65,287.25
"MG2",0,16,20,51.30,25.03,25.56,16.00,179.70,322.13
"MG2",0,16,21,54.43,25.78,26.32,16.65,212.27,356.71
"MG2",0,16,22,57.45,26.48,27.05,17.28,245.12,390.45
"MG2",0,16,23,60.37,27.13,27.72,17.88,277.14,422.85
"MG2",0,16,24,63.19,27.75,28.36,18.45,309.60,455.03
"MG2",0,16,25,65.91,28.34,28.97,19.00,344.00,490.00
"MG2",0,16,25,39.81,32.93,33.56,19.00,249.14,301.82
"MG2",0,16,26,41.89,33.78,34.43,19.53,268.98,322.38
"MG2",0,16,27,43.91,34.58,35.25,20.03,293.85,346.38
"MG2",0,16,28,45.89,35.35,36.03,20.52,319.91,371.76
"MG2",0,16,29,47.82,36.08,36.78,20.98,345.30,396.50
"MG2",0,16,30,49.69,36.78,37.50,21.42,370.22,420.69
"MG2",0,16,31,51.52,37.45,38.18,21.85,395.33,445.09
"MG2",0,16,32,53.31,38.09,38.84,22.26,418.51,467.74
"MG2",0,16,33,55.05,38.71,39.46,22.65,442.88,491.45
"MG2",0,16,34,56.74,39.29,40.07,23.03,466.99,515.06
"MG2",0,16,35,58.39,39.86,40.65,23.39,490.49,538.21
"MG2",0,16,35,0.00,0.00,0.00,0.00,0.00,0.00
"MG2",0,21,1,0.00,0.02,0.02,0.47,0.00,0.00
"MG2",0,21,2,0.06,0.77,0.78,1.30,0.00,0.00
"MG2",0,21,3,0.74,2.72,2.74,2.32,0.00,0.00
"MG2",0,21,4,2.72,5.22,5.27,3.46,0.00,0.00
"MG2",0,21,5,6.10,7.80,7.88,4.68,0.00,4.70
"MG2",0,21,6,10.57,10.26,10.37,5.93,0.00,24.09
"MG2",0,21,7,15.76,12.51,12.67,7.20,0.00,35.90
"MG2",0,21,8,21.36,14.56,14.75,8.47,0.00,70.61
"MG2",0,21,9,27.15,16.40,16.63,9.72,1.29,104.82
"MG2",0,21,10,32.97,18.05,18.33,10.95,11.93,142.37
"MG2",0,21,11,38.72,19.55,19.86,12.14,29.17,184.39
"MG2",0,21,12,44.32,20.90,21.25,13.29,57.79,223.98
"MG2",0,21,13,49.74,22.13,22.51,14.41,101.60,280.53
"MG2",0,21,14,54.95,23.25,23.66,15.48,149.68,336.35
"MG2",0,21,15,59.95,24.27,24.71,16.51,198.45,388.99
"MG2",0,21,16,64.73,25.20,25.68,17.49,252.73,448.64
"MG2",0,21,17,69.30,26.06,26.57,18.43,307.61,506.84
"MG2",0,21,17,62.09,27.61,28.12,18.43,301.37,457.96
"MG2",0,21,18,66.25,28.51,29.04,19.33,353.04,502.23
"MG2",0,21,19,70.24,29.34,29.91,20.18,408.94,559.09
"MG2",0,21,20,74.06,30.12,30.71,21.00,465.84,616.31
"MG2",0,21,21,77.71,30.84,31.46,21.78,521.32,671.86
"MG2",0,21,22,81.20,31.51,32.15,22.52,575.47,725.78
"MG2",0,21,23,84.55,32.14,32.81,23.22,628.46,778.22
"MG2",0,21,24,87.75,32.74,33.42,23.89,683.98,833.62
"MG2",0,21,25,90.81,33.29,34.00,24.53,736.61,886.35
"MG2",0,21,25,55.50,38.92,39.63,24.53,502.42,550.29
"MG2",0,21,26,57.94,39.76,40.49,25.14,527.83,578.84
"MG2",0,21,27,60.31,40.55,41.31,25.72,565.07,615.61
"MG2",0,21,28,62.60,41.31,42.09,26.27,603.66,653.64
"MG2",0,21,29,64.83,42.03,42.83,26.80,640.71,690.22
"MG2",0,21,30,66.98,42.72,43.53,27.30,678.98,727.90
"MG2",0,21,31,69.07,43.37,44.21,27.78,714.80,763.36
"MG2",0,21,32,71.09,44.00,44.85,28.24,752.69,800.83
"MG2",0,21,33,73.05,44.59,45.46,28.68,786.00,833.92
"MG2",0,21,34,74.95,45.17,46.05,29.09,823.71,871.13
"MG2",0,21,35,76.79,45.71,46.61,29.49,855.37,902.65
"MG2",0,21,35,0.00,0.00,0.00,0.00,0.00,0.00
"MG2",0,26,1,0.00,0.10,0.10,0.65,0.00,0.00
"MG2",0,26,2,0.30,1.75,1.75,1.78,0.00,0.00
"MG2",0,26,3,2.35,4.87,4.89,3.15,0.00,0.00
"MG2",0,26,4,6.81,8.28,8.33,4.66,0.00,4.68
"MG2",0,26,5,13.12,11.48,11.56,6.26,0.00,31.28
"MG2",0,26,6,20.52,14.34,14.46,7.89,0.00,50.38
"MG2",0,26,7,28.41,16.85,17.01,9.52,0.43,110.71
"MG2",0,26,8,36.40,19.05,19.26,11.12,18.69,162.85
"MG2",0,26,9,44.25,20.98,21.23,12.69,45.79,214.15
"MG2",0,26,10,51.83,22.68,22.98,14.21,109.18,290.09
"MG2",0,26,11,59.07,24.20,24.53,15.67,180.52,369.36
"MG2",0,26,12,65.94,25.54,25.92,17.07,255.05,448.18
"MG2",0,26,13,72.44,26.75,27.16,18.40,334.67,532.42
"MG2",0,26,14,78.56,27.84,28.29,19.67,413.83,612.41
"MG2",0,26,15,84.33,28.82,29.31,20.87,495.31,694.82
"MG2",0,26,16,89.77,29.71,30.24,22.01,584.13,785.76
"MG2",0,26,17,94.89,30.53,31.09,23.09,671.59,874.29
"MG2",0,26,17,85.31,32.40,32.96,23.09,644.73,791.59
"MG2",0,26,18,90.00,33.26,33.85,24.12,718.92,866.77
"MG2",0,26,19,94.43,34.05,34.67,25.08,798.56,946.48
"MG2",0,26,20,98.64,34.78,35.44,26.00,879.69,1027.09
"MG2",0,26,21,102.62,35.46,36.15,26.87,955.06,1102.08
"MG2",0,26,22,106.40,36.09,36.81,27.68,1029.46,1175.86
"MG2",0,26,23,109.99,36.68,37.42,28.46,1104.83,1251.31
"MG2",0,26,24,113.41,37.23,38.00,29.19,1179.35,1325.88
"MG2",0,26,25,116.66,37.74,38.54,29.89,1250.80,1397.42
"MG2",0,26,25,70.26,43.78,44.59,29.89,804.88,850.37
"MG2",0,26,26,72.95,44.61,45.43,30.54,840.86,891.53
"MG2",0,26,27,75.55,45.38,46.24,31.17,889.48,939.87
"MG2",0,26,28,78.06,46.12,47.00,31.76,942.99,992.82
"MG2",0,26,29,80.48,46.82,47.72,32.32,989.88,1039.39
"MG2",0,26,30,82.81,47.48,48.40,32.85,1037.66,1086.93
"MG2",0,26,31,85.06,48.12,49.06,33.35,1087.76,1136.64
"MG2",0,26,32,87.23,48.72,49.68,33.83,1133.26,1182.06
"MG2",0,26,33,89.33,49.29,50.28,34.29,1177.92,1226.58
"MG2",0,26,34,91.36,49.84,50.84,34.73,1218.00,1266.68
"MG2",0,26,35,93.32,50.36,51.39,35.14,1262.09,1310.60
"MG2",0,26,35,0.00,0.00,0.00,0.00,0.00,0.00
"MG2",0,7,1,0.00,0.00,0.00,0.13,0.00,0.00
"MG2",0,7,2,0.00,0.01,0.01,0.35,0.00,0.00
"MG2",0,7,3,0.00,0.11,0.12,0.62,0.00,0.00
"MG2",0,7,4,0.02,0.41,0.45,0.94,0.00,0.00
"MG2",0,7,5,0.10,0.94,1.02,1.29,0.00,0.00
"MG2",0,7,6,0.31,1.66,1.77,1.65,0.00,0.00
"MG2",0,7,7,0.68,2.49,2.63,2.04,0.00,0.00
"MG2",0,7,8,1.25,3.40,3.57,2.43,0.00,0.00
"MG2",0,7,9,2.03,4.34,4.54,2.83,0.00,0.23
"MG2",0,7,10,2.99,5.29,5.52,3.23,0.00,2.17
"MG2",0,7,11,4.13,6.23,6.48,3.63,0.00,2.98
"MG2",0,7,12,5.41,7.14,7.42,4.03,0.00,3.83
"MG2",0,7,13,6.82,8.03,8.33,4.43,0.00,5.69
"MG2",0,7,14,8.32,8.88,9.21,4.82,0.00,9.93
"MG2",0,7,15,9.91,9.70,10.05,5.20,0.00,14.91
"MG2",0,7,16,11.56,10.49,10.85,5.58,0.00,19.33
"MG2",0,7,17,13.25,11.23,11.62,5.95,0.00,23.34
"MG2",0,7,17,11.56,11.75,12.13,5.95,0.00,22.47
"MG2",0,7,18,13.13,12.53,12.93,6.31,0.02,27.15
"MG2",0,7,19,14.72,13.27,13.69,6.66,0.12,34.27
"MG2",0,7,20,16.33,13.99,14.42,7.00,0.41,41.42
"MG2",0,7,21,17.95,14.67,15.12,7.33,1.01,48.29
"MG2",0,7,22,19.56,15.32,15.78,7.66,1.89,54.81
"MG2",0,7,23,21.17,15.94,16.42,7.97,3.38,62.22
"MG2",0,7,24,22.77,16.54,17.03,8.27,5.21,70.19
"MG2",0,7,25,24.35,17.11,17.61,8.57,7.71,78.27
"MG2",0,7,25,14.77,19.95,20.45,8.57,7.71,49.48
"MG2",0,7,26,15.92,20.71,21.22,8.85,15.52,53.23
"MG2",0,7,27,17.06,21.45,21.97,9.13,20.10,58.67
"MG2",0,7,28,18.19,22.16,22.69,9.40,25.13,64.82
"MG2",0,7,29,19.32,22.84,23.38,9.66,30.36,71.03
"MG2",0,7,30,20.45,23.50,24.05,9.91,36.17,77.46
"MG2",0,7,31,21.56,24.13,24.70,10.15,42.34,83.90
"MG2",0,7,32,22.66,24.75,25.32,10.38,48.13,89.98
"MG2",0,7,33,23.75,25.34,25.92,10.61,54.34,96.24
"MG2",0,7,34,24.83,25.92,26.51,10.83,60.90,102.92
"MG2",0,7,35,25.89,26.47,27.07,11.04,67.46,109.48
"MG2",0,7,35,0.00,0.00,0.00,0.00,0.00,0.00
"MG2",1,11,1,0.00,0.00,0.00,0.21,0.00,0.00
"MG2",1,11,2,0.00,0.13,0.13,0.58,0.00,0.00
"MG2",1,11,3,0.06,0.74,0.76,1.04,0.00,0.00
"MG2",1,11,4,0.34,1.81,1.85,1.56,0.00,0.00
"MG2",1,11,5,1.02,3.15,3.22,2.12,0.00,0.00
"MG2",1,11,6,2.17,4.59,4.70,2.72,0.00,0.02
"MG2",1,11,7,3.75,6.03,6.18,3.34,0.00,2.98
"MG2",1,11,8,5.69,7.43,7.61,3.97,0.00,3.80
"MG2",1,11,9,7.90,8.76,8.97,4.61,0.00,6.63
"MG2",1,11,10,10.31,10.01,10.25,5.24,0.00,17.19
"MG2",1,11,11,12.85,11.17,11.44,5.87,0.00,24.00
"MG2",1,11,12,15.47,12.26,12.55,6.50,0.00,30.91
"MG2",1,11,13,18.12,13.26,13.58,7.11,0.02,45.09
"MG2",1,11,14,20.77,14.20,14.55,7.71,0.22,60.27
"MG2",1,11,15,23.40,15.07,15.44,8.30,1.17,73.67
"MG2",1,11,16,26.00,15.88,16.27,8.87,3.17,86.50
"MG2",1,11,17,28.55,16.64,17.05,9.43,6.52,102.61
"MG2",1,11,17,26.28,17.88,18.29,9.43,6.52,95.54
"MG2",1,11,18,28.66,18.67,19.10,9.97,16.42,109.29
"MG2",1,11,19,30.99,19.41,19.86,10.49,24.33,122.58
"MG2",1,11,20,33.26,20.11,20.58,11.00,34.00,136.55
"MG2",1,11,21,35.46,20.76,21.25,11.49,45.88,154.00
"MG2",1,11,22,37.61,21.37,21.88,11.96,58.97,171.81
"MG2",1,11,23,39.69,21.96,22.48,12.42,72.49,189.03
"MG2",1,11,24,41.70,22.50,23.04,12.86,86.90,206.29
"MG2",1,11,25,43.66,23.02,23.58,13.29,101.16,222.66
"MG2",1,11,25,27.02,27.10,27.65,13.29,89.17,141.85
"MG2",1,11,26,28.52,27.84,28.40,13.70,101.57,150.76
"MG2",1,11,27,29.98,28.54,29.12,14.09,113.87,162.80
"MG2",1,11,28,31.41,29.21,29.81,14.47,126.43,175.09
"MG2",1,11,29,32.81,29.86,30.47,14.84,138.17,186.32
"MG2",1,11,30,34.18,30.47,31.10,15.20,151.06,198.82
"MG2",1,11,31,35.51,31.06,31.70,15.54,163.65,211.24
"MG2",1,11,32,36.82,31.63,32.28,15.87,177.51,224.80
"MG2",1,11,33,38.09,32.17,32.83,16.18,189.93,236.98
"MG2",1,11,34,39.33,32.69,33.36,16.49,202.83,249.46
"MG2",1,11,35,40.55,33.19,33.87,16.78,215.02,261.29
"MG2",1,11,35,0.00,0.00,0.00,0.00,0.00,0.00
"MG2",1,16,1,0.00,0.01,0.01,0.35,0.00,0.00
"MG2",1,16,2,0.03,0.57,0.58,0.98,0.00,0.00
"MG2",1,16,3,0.44,2.11,2.13,1.74,0.00,0.00
"MG2",1,16,4,1.73,4.15,4.19,2.60,0.00,0.00
"MG2",1,16,5,3.98,6.29,6.37,3.51,0.00,3.35
"MG2",1,16,6,7.04,8.36,8.47,4.46,0.00,4.45
"MG2",1,16,7,10.66,10.27,10.42,5.42,0.00,20.81
"MG2",1,16,8,14.61,12.01,12.20,6.38,0.00,30.11
"MG2",1,16,9,18.73,13.59,13.81,7.33,0.00,46.53
"MG2",1,16,10,22.91,15.02,15.28,8.26,0.11,75.29
"MG2",1,16,11,27.07,16.31,16.60,9.17,2.33,95.71
"MG2",1,16,12,31.14,17.49,17.81,10.06,8.84,122.16
"MG2",1,16,13,35.09,18.56,18.91,10.91,18.29,149.98
"MG2",1,16,14,38.92,19.53,19.91,11.74,31.63,174.69
"MG2",1,16,15,42.59,20.42,20.83,12.53,50.14,201.20
"MG2",1,16,16,46.12,21.24,21.67,13.28,74.46,235.27
"MG2",1,16,17,49.50,22.00,22.45,14.01,100.74,269.02
"MG2",1,16,17,44.31,23.30,23.75,14.01,100.74,243.50
"MG2",1,16,18,47.40,24.08,24.57,14.70,135.60,269.72
"MG2",1,16,19,50.36,24.82,25.32,15.37,163.64,300.34
"MG2",1,16,20,53.19,25.50,26.02,16.00,192.50,331.70
"MG2",1,16,21,55.91,26.13,26.68,16.60,221.05,361.50
"MG2",1,16,22,58.52,26.73,27.30,17.18,248.74,389.82
"MG2",1,16,23,61.02,27.28,27.87,17.73,276.48,417.44
"MG2",1,16,24,63.41,27.81,28.41,18.25,302.68,443.36
"MG2",1,16,25,65.71,28.30,28.92,18.75,331.21,472.43
"MG2",1,16,25,39.63,32.86,33.49,18.75,241.02,292.54
"MG2",1,16,26,41.45,33.60,34.24,19.23,257.99,309.81
"MG2",1,16,27,43.21,34.30,34.96,19.68,279.21,330.17
"MG2",1,16,28,44.92,34.97,35.65,20.12,299.65,350.00
"MG2",1,16,29,46.57,35.61,36.30,20.53,321.59,371.41
"MG2",1,16,30,48.18,36.22,36.92,20.92,341.55,390.87
"MG2",1,16,31,49.74,36.79,37.52,21.30,362.17,410.86
"MG2",1,16,32,51.26,37.35,38.08,21.66,381.61,429.79
"MG2",1,16,33,52.73,37.88,38.62,22.01,400.12,447.80
"MG2",1,16,34,54.15,38.38,39.14,22.33,419.28,466.31
"MG2",1,16,35,55.54,38.87,39.64,22.65,436.70,483.24
"MG2",1,16,35,0.00,0.00,0.00,0.00,0.00,0.00
"MG2",1,21,1,0.00,0.09,0.09,0.56,0.00,0.00
"MG2",1,21,2,0.26,1.62,1.62,1.53,0.00,0.00
"MG2",1,21,3,1.94,4.42,4.44,2.70,0.00,0.00
"MG2",1,21,4,5.51,7.45,7.49,3.99,0.00,3.91
"MG2",1,21,5,10.51,10.27,10.35,5.33,0.00,23.29
"MG2",1,21,6,16.32,12.77,12.89,6.68,0.00,34.19
"MG2",1,21,7,22.46,14.97,15.13,8.03,0.00,75.62
"MG2",1,21,8,28.65,16.88,17.08,9.34,1.34,106.30
"MG2",1,21,9,34.71,18.57,18.80,10.62,14.29,146.62
"MG2",1,21,10,40.55,20.05,20.32,11.84,31.86,187.18
"MG2",1,21,11,46.11,21.36,21.67,13.00,63.13,227.47
"MG2",1,21,12,51.37,22.52,22.88,14.11,108.28,283.92
"MG2",1,21,13,56.34,23.57,23.96,15.16,154.33,336.25
"MG2",1,21,14,61.02,24.51,24.93,16.15,199.64,384.10
"MG2",1,21,15,65.42,25.36,25.81,17.08,249.44,438.97
"MG2",1,21,16,69.56,26.14,26.62,17.96,298.73,491.34
"MG2",1,21,17,73.46,26.85,27.35,18.79,345.67,539.62
"MG2",1,21,17,65.74,28.42,28.93,18.79,337.96,488.09
"MG2",1,21,18,69.30,29.17,29.70,19.57,380.36,524.41
"MG2",1,21,19,72.68,29.86,30.42,20.31,428.72,573.25
"MG2",1,21,20,75.87,30.49,31.08,21.00,475.99,620.70
"MG2",1,21,21,78.90,31.08,31.70,21.65,521.08,665.55
"MG2",1,21,22,81.77,31.63,32.27,22.26,563.25,707.29
"MG2",1,21,23,84.50,32.14,32.80,22.84,604.33,747.53
"MG2",1,21,24,87.09,32.62,33.30,23.39,646.37,789.71
"MG2",1,21,25,89.56,33.07,33.77,23.90,688.95,832.09
"MG2",1,21,25,54.57,38.59,39.29,23.90,472.96,519.96
"MG2",1,21,26,56.64,39.31,40.03,24.38,485.30,534.15
"MG2",1,21,27,58.64,39.99,40.73,24.84,516.72,564.96
"MG2",1,21,28,60.56,40.64,41.39,25.27,544.44,592.26
"MG2",1,21,29,62.42,41.25,42.02,25.68,575.56,622.73
"MG2",1,21,30,64.21,41.83,42.62,26.07,600.65,647.46
"MG2",1,21,31,65.93,42.38,43.19,26.44,628.22,674.70
"MG2",1,21,32,67.60,42.91,43.73,26.79,656.75,702.52
"MG2",1,21,33,69.21,43.41,44.25,27.12,679.57,725.09
"MG2",1,21,34,70.77,43.89,44.75,27.43,708.15,753.20
"MG2",1,21,35,72.27,44.35,45.22,27.73,730.72,775.58
"MG2",1,21,35,0.00,0.00,0.00,0.00,0.00,0.00
"MG2",1,26,1,0.02,0.40,0.40,0.87,0.00,0.00
"MG2",1,26,2,1.28,3.60,3.61,2.35,0.00,0.00
"MG2",1,26,3,6.04,7.83,7.85,4.09,0.00,4.02
"MG2",1,26,4,13.55,11.70,11.75,5.95,0.00,30.69
"MG2",1,26,5,22.29,14.98,15.07,7.82,0.00,79.61
"MG2",1,26,6,31.29,17.73,17.85,9.66,0.79,119.54
"MG2",1,26,7,40.04,20.02,20.20,11.42,28.07,185.95
"MG2",1,26,8,48.32,21.97,22.19,13.09,63.20,236.10
"MG2",1,26,9,56.03,23.63,23.89,14.67,145.12,329.12
"MG2",1,26,10,63.17,25.06,25.37,16.13,215.74,403.48
"MG2",1,26,11,69.75,26.31,26.65,17.50,293.32,485.41
"MG2",1,26,12,75.82,27.40,27.79,18.76,369.40,564.13
"MG2",1,26,13,81.42,28.37,28.80,19.93,438.73,631.99
"MG2",1,26,14,86.58,29.23,29.70,21.01,513.77,707.54
"MG2",1,26,15,91.37,30.00,30.51,22.01,591.99,787.36
"MG2",1,26,16,95.80,30.70,31.24,22.94,666.71,862.37
"MG2",1,26,17,99.91,31.33,31.90,23.79,735.63,931.23
"MG2",1,26,17,89.51,33.19,33.76,23.79,699.23,840.86
"MG2",1,26,18,93.31,33.87,34.47,24.58,754.85,897.36
"MG2",1,26,19,96.87,34.49,35.12,25.32,818.44,960.15
"MG2",1,26,20,100.21,35.06,35.72,26.00,876.22,1017.14
"MG2",1,26,21,103.35,35.59,36.28,26.63,930.68,1070.57
"MG2",1,26,22,106.30,36.08,36.79,27.22,980.33,1119.14
"MG2",1,26,23,109.08,36.53,37.27,27.77,1032.66,1171.11
"MG2",1,26,24,111.71,36.95,37.71,28.28,1084.30,1222.68
"MG2",1,26,25,114.20,37.35,38.13,28.76,1135.66,1273.74
"MG2",1,26,25,68.47,43.23,44.01,28.76,737.92,782.05
"MG2",1,26,26,70.70,43.92,44.73,29.20,754.28,802.13
"MG2",1,26,27,72.83,44.57,45.40,29.62,791.60,838.88
"MG2",1,26,28,74.88,45.19,46.03,30.01,825.25,872.13
"MG2",1,26,29,76.85,45.77,46.63,30.38,862.13,908.33
"MG2",1,26,30,78.74,46.32,47.20,30.72,889.13,935.21
"MG2",1,26,31,80.56,46.85,47.74,31.05,921.99,967.51
"MG2",1,26,32,82.31,47.35,48.26,31.35,952.24,997.37
"MG2",1,26,33,83.99,47.82,48.75,31.64,983.82,1028.48
"MG2",1,26,34,85.61,48.27,49.22,31.91,1011.03,1055.51
"MG2",1,26,35,87.17,48.71,49.66,32.17,1037.53,1081.89
"MG2",1,26,35,0.00,0.00,0.00,0.00,0.00,0.00
"MG2",1,7,1,0.00,0.00,0.00,0.12,0.00,0.00
"MG2",1,7,2,0.00,0.02,0.02,0.33,0.00,0.00
"MG2",1,7,3,0.00,0.19,0.21,0.60,0.00,0.00
"MG2",1,7,4,0.04,0.63,0.68,0.90,0.00,0.00
"MG2",1,7,5,0.19,1.32,1.39,1.23,0.00,0.00
"MG2",1,7,6,0.51,2.16,2.27,1.59,0.00,0.00
"MG2",1,7,7,1.03,3.10,3.24,1.96,0.00,0.00
"MG2",1,7,8,1.78,4.08,4.25,2.35,0.00,0.05
"MG2",1,7,9,2.73,5.07,5.27,2.74,0.00,1.76
"MG2",1,7,10,3.86,6.04,6.27,3.14,0.00,2.53
"MG2",1,7,11,5.14,6.98,7.24,3.54,0.00,3.22
"MG2",1,7,12,6.55,7.89,8.17,3.94,0.00,4.49
"MG2",1,7,13,8.04,8.75,9.05,4.34,0.00,8.15
"MG2",1,7,14,9.61,9.57,9.90,4.74,0.00,13.00
"MG2",1,7,15,11.23,10.35,10.70,5.13,0.00,17.39
"MG2",1,7,16,12.88,11.09,11.45,5.52,0.00,21.44
"MG2",1,7,17,14.55,11.79,12.17,5.90,0.00,26.45
"MG2",1,7,17,12.83,12.40,12.78,5.90,0.00,25.55
"MG2",1,7,18,14.38,13.13,13.53,6.27,0.06,31.37
"MG2",1,7,19,15.93,13.83,14.24,6.64,0.26,38.32
"MG2",1,7,20,17.48,14.48,14.92,7.00,0.70,45.12
"MG2",1,7,21,19.01,15.11,15.56,7.35,1.46,51.69
"MG2",1,7,22,20.53,15.71,16.17,7.69,2.60,58.19
"MG2",1,7,23,22.03,16.28,16.75,8.03,4.15,65.96
"MG2",1,7,24,23.52,16.82,17.30,8.35,6.16,73.83
"MG2",1,7,25,24.97,17.33,17.83,8.67,8.72,81.58
"MG2",1,7,25,15.11,20.18,20.68,8.67,8.72,51.33
"MG2",1,7,26,16.17,20.88,21.39,8.98,16.63,54.74
"MG2",1,7,27,17.22,21.55,22.08,9.28,20.89,60.00
"MG2",1,7,28,18.27,22.20,22.73,9.57,25.90,66.11
"MG2",1,7,29,19.30,22.82,23.37,9.85,30.97,72.20
"MG2",1,7,30,20.32,23.42,23.98,10.13,36.51,78.47
"MG2",1,7,31,21.33,24.00,24.56,10.39,42.31,84.81
"MG2",1,7,32,22.32,24.55,25.13,10.65,47.81,90.68
"MG2",1,7,33,23.30,25.09,25.67,10.90,53.73,96.77
"MG2",1,7,34,24.26,25.60,26.20,11.15,59.31,102.42
"MG2",1,7,35,25.20,26.10,26.70,11.39,65.61,109.04
"MG2",1,7,35,0.00,0.00,0.00,0.00,0.00,0.00
